class,P,R
microALL,0.9806071799906433,0.18882557750365933
microALL,0.9804246800380584,0.19029114278538972
microALL,0.980242447966976,0.19175488634472918
microALL,0.980065010766288,0.19321942399712969
microALL,0.9798954854842111,0.1946857688484891
microALL,0.9797200526955089,0.19614693286072438
microALL,0.9795511314916461,0.1976096937760037
microALL,0.9793481907966773,0.1990557819292757
microALL,0.9791550162174272,0.20048820743803572
microALL,0.9788757639110085,0.20184010274619885
microALL,0.9786344188550484,0.2032173782406324
microALL,0.9783924306776732,0.20459391359123041
microALL,0.9781367669537265,0.2059540735596589
microALL,0.9778957278245638,0.207321538393522
microALL,0.9776694120472754,0.2086994880375356
microALL,0.9774106313929596,0.2100570722135159
microALL,0.9771591815161067,0.21141506706912908
microALL,0.9769097416396227,0.21277136970173702
microALL,0.976674691052291,0.2141336089777336
microALL,0.9764572125050803,0.2155050893797105
microALL,0.9762022826725198,0.21684054791664015
microALL,0.9759604088473014,0.2181853266668525
microALL,0.9757201053057355,0.21952689298747266
microALL,0.9754973443378994,0.22087605002749916
microALL,0.9752552931168181,0.22221537231032062
microALL,0.9750229785401957,0.2235560203603806
microALL,0.9747930880214611,0.22489182155372953
microALL,0.9745813087441604,0.2262420755218568
microALL,0.9743718214833371,0.22759224422668572
microALL,0.9741731480581886,0.22894493735428964
microALL,0.9739749225599662,0.23029550181597183
microALL,0.9737777387976639,0.23164547380809342
microALL,0.9735837713902245,0.2329954092080948
microALL,0.9733951332652693,0.23434667549214733
microALL,0.9732032447452954,0.23569605295382173
microALL,0.9730105204045622,0.2370428214239435
microALL,0.9728117349538153,0.23838862930788146
microALL,0.9726303468330817,0.2397377032562076
microALL,0.9724382289989426,0.2410853440663691
microALL,0.9722319864082464,0.24242123951690076
microALL,0.9720479902786143,0.24376566868386307
microALL,0.9718696540858139,0.24510973553199297
microALL,0.9716679715169674,0.24642725362061763
microALL,0.9714774781847973,0.24775010112418025
microALL,0.971292986478592,0.24907524338820497
microALL,0.9710760007690278,0.25036832144674825
microALL,0.9708580201813521,0.25165969658289855
microALL,0.9706500680085386,0.25295458790842335
microALL,0.9704429895124513,0.2542488415659603
microALL,0.9702323155975754,0.25554038340194546
microALL,0.9700239545034238,0.25683146644929367
microALL,0.9698271829512455,0.25812651797124764
microALL,0.9696328710435191,0.2594215255443691
microALL,0.9694397572492286,0.260716162542524
microALL,0.9692448851938791,0.2620095127187752
microALL,0.9690386809781535,0.26329745115648434
microALL,0.968851017919657,0.26459100377238204
microALL,0.9686668157923911,0.26588560738954004
microALL,0.9684885386529908,0.26718168410431864
microALL,0.9683055318732848,0.26847418781650734
microALL,0.9680721102891111,0.2697128071693368
microALL,0.9678346676337652,0.2709480979449925
microALL,0.9676024855753795,0.2721866462284646
microALL,0.967373182611697,0.273424731101338
microALL,0.9671369546614185,0.2746619971882239
microALL,0.9669078215378255,0.2758998634415002
microALL,0.9666925708379513,0.2771405593675463
microALL,0.966474187930389,0.27837981736340284
microALL,0.9662398577543873,0.2796155491971504
microALL,0.9660258682625509,0.28085241168543984
microALL,0.9657927625419583,0.28208658958237043
microALL,0.965586004839925,0.28332507298033854
microALL,0.9653739328188612,0.2845610117157614
microALL,0.9651581793723242,0.28579205848019473
microALL,0.9649557047359407,0.2870289172251866
microALL,0.9647490256404598,0.2882641043645077
microALL,0.9645341076525918,0.2894921395320714
microALL,0.964323780216867,0.2907227771869846
microALL,0.9641087992611111,0.2919554297489122
microALL,0.9639172005188973,0.29319357736853646
microALL,0.9636981916916517,0.2944224798877332
microALL,0.9634826839557935,0.29565193588166966
microALL,0.9632960813284857,0.29688901692672787
microALL,0.9630945974512392,0.2981214255712193
microALL,0.9629055521381057,0.29935317293827357
microALL,0.9627097732805464,0.30057286332787203
microALL,0.9625138508227221,0.3017900994413354
microALL,0.9622984293043544,0.30299191042566564
microALL,0.9620934801613382,0.30419744891720313
microALL,0.9618918891299124,0.30540339009513867
microALL,0.961697841856668,0.30661148529944343
microALL,0.9614985789027821,0.30781299048266547
microALL,0.9612890057040396,0.3090066357026731
microALL,0.9610913946095441,0.3102107718927125
microALL,0.9608943558487275,0.3114088485828169
microALL,0.9606982941813821,0.31261026559594124
microALL,0.9605027840461665,0.3138094107166005
microALL,0.9603207749446631,0.31501780897163034
microALL,0.960134696386108,0.31622259178306084
microALL,0.9599313697362172,0.3174087839071173
microALL,0.95973698841979,0.31859949469599713
microALL,0.9595479456233375,0.3197988234451931
microALL,0.9593508502830774,0.32098525180459225
microALL,0.9591648993321668,0.32217886575796467
microALL,0.9589822853380499,0.323373927392117
microALL,0.9587702744071462,0.3245439504353227
microALL,0.9585789291586316,0.3257310447487174
microALL,0.9583950861331035,0.3269190529373273
microALL,0.958222136267788,0.3281165233395623
