class,P,R
microALL,0.9688548540431461,0.2695138414820235
microALL,0.9686263466816282,0.27075555955592556
microALL,0.9683990473496217,0.2719963285789321
microALL,0.9681637780093301,0.2732338954897129
microALL,0.9679320571810455,0.2744695735962921
microALL,0.967708187197618,0.27570916065477036
microALL,0.9674860869531698,0.27694698517438643
microALL,0.9672698803265765,0.2781864658207053
microALL,0.9670583547701728,0.2794271477860777
microALL,0.966853326610028,0.2806708938549243
microALL,0.9666443187487599,0.2819102966072469
microALL,0.9664407703136387,0.2831510946908307
microALL,0.966239638867142,0.2843918569780471
microALL,0.966034859585953,0.28562838685494096
microALL,0.9658306406712653,0.28686553777948853
microALL,0.9656286536572695,0.28810236887719093
microALL,0.9654344847624438,0.2893429836989102
microALL,0.965241810426915,0.2905830762720223
microALL,0.9650327174680423,0.29180414195193105
microALL,0.9648103102513296,0.29302141102576307
microALL,0.9646076703781641,0.29424735821866216
microALL,0.9644048077668501,0.2954721214033951
microALL,0.9642030504064628,0.2966935897536846
microALL,0.9639987211100608,0.2979114720060268
microALL,0.9637994328561419,0.29913066298246394
microALL,0.9636006161288516,0.30034970893748225
microALL,0.9633972191122115,0.30156030903931114
microALL,0.9631870180298693,0.30276574701728987
microALL,0.9629905172000662,0.30397717927556384
microALL,0.9627938822864037,0.305187520462555
microALL,0.9626030464583253,0.30640014219701583
microALL,0.9624092108006634,0.3076099622794243
microALL,0.9622111620623989,0.3088179941927794
microALL,0.9620217612307503,0.3100279096131104
microALL,0.9618347893395612,0.3112381502269176
microALL,0.9616484198822727,0.31244836385413827
microALL,0.961464288768852,0.31365869268250973
microALL,0.961279635332961,0.31486681611151124
microALL,0.9610970461156635,0.31607415151824714
microALL,0.9609063603753398,0.31727581708751545
microALL,0.9607282624125449,0.31848407034869025
microALL,0.9605379550899837,0.3196793232547369
microALL,0.9603623755732005,0.32088746237942045
microALL,0.9601610293069335,0.32207231562093186
microALL,0.9599536690210235,0.3232520395007033
microALL,0.9597472055987526,0.32443006109756134
microALL,0.9595516872289276,0.32561241981036926
microALL,0.9593618891804819,0.32679828222909435
microALL,0.9591726834764353,0.32798235626540706
microALL,0.9589850927508895,0.32916620799232116
microALL,0.9587981969465479,0.3303506405926098
microALL,0.9586076455546504,0.3315319167987897
microALL,0.958409929741426,0.3327093385817966
microALL,0.9582194436023822,0.33388787519089397
microALL,0.9580425129301134,0.33507339414488396
